3.243646057,3.441323186,3.636160572,3.627530351
2.842047159,2.641608761,3.151849275,3.818687228
4.178809011,3.164238416,3.778673974,3.331191653
3.015610565,3.42465528,4.152326692,4.565479865
4.275644922,3.868684764,3.160675528,4.483255532
2.948916053,4.878016168,3.035418285,3.264175428
4.308069741,4.587955799,2.665684819,3.73758052
4.845919509,2.665738332,3.086997869,3.454642941
3.638290779,4.571762988,4.236461293,3.492561053
4.353744545,3.915208263,2.649135749,3.569218645
3.659218036,4.38032937,3.545913105,2.845957141
5.011663278,4.054940358,4.342183606,4.160482289
2.806112459,3.298261388,4.28661382,3.061826968
2.824370059,4.811204476,4.512812359,4.059172877
5.530292201,3.619671983,2.696909749,3.226001737
2.85262794,4.46503021,3.731626012,3.043756501
